employeeName,country,salesYear,salesMonth,repsales,regionavg,difffromavg,performance
Robert King,UK,1998,4,34792.65,12461.0375,22331.6125,Above Average
Andrew Fuller,USA,1998,4,32681.05,16957.282,15723.768,Above Average
Margaret Peacock,USA,1997,1,25620.10,10056.18,15563.92,Above Average
Janet Leverling,USA,1998,1,27833.35,14872.296,12961.054,Above Average
Andrew Fuller,USA,1998,2,26056.90,14123.018,11933.882,Above Average
Nancy Davolio,USA,1997,7,19997.88,8303.186,11694.694,Above Average
Anne Dodsworth,UK,1998,2,19325.51,8486.715,10838.795,Above Average
Margaret Peacock,USA,1997,8,16766.79,6516.338,10250.452,Above Average
Janet Leverling,USA,1997,5,18639.80,8952.69,9687.11,Above Average
Margaret Peacock,USA,1996,7,12988.90,4181.54,8807.36,Above Average
Margaret Peacock,USA,1996,10,14422.10,5782.40,8639.70,Above Average
Robert King,UK,1997,1,13703.40,5470.6333,8232.7667,Above Average
Janet Leverling,USA,1998,2,21540.24,14123.018,7417.222,Above Average
Nancy Davolio,USA,1998,3,24847.45,17455.49,7391.96,Above Average
Robert King,UK,1997,9,13839.29,6753.685,7085.605,Above Average
Steven Buchanan,UK,1996,12,13227.60,6392.00,6835.60,Above Average
Margaret Peacock,USA,1997,4,14333.15,7938.06,6395.09,Above Average
Margaret Peacock,USA,1997,2,13530.30,7192.92,6337.38,Above Average
Margaret Peacock,USA,1998,1,21029.30,14872.296,6157.004,Above Average
Andrew Fuller,USA,1997,4,14019.30,7938.06,6081.24,Above Average
Margaret Peacock,USA,1996,11,12017.40,6316.08,5701.32,Above Average
Robert King,UK,1996,11,11717.40,6041.20,5676.20,Above Average
Steven Buchanan,UK,1998,1,12280.50,6623.31,5657.19,Above Average
Margaret Peacock,USA,1997,12,18843.25,13195.47,5647.78,Above Average
Janet Leverling,USA,1997,3,11599.40,6089.86,5509.54,Above Average
Janet Leverling,USA,1997,12,18494.00,13195.47,5298.53,Above Average
Michael Suyama,UK,1997,12,7999.91,2874.7275,5125.1825,Above Average
Michael Suyama,UK,1997,4,9690.74,5336.3633,4354.3767,Above Average
Steven Buchanan,UK,1997,10,8365.20,4019.025,4346.175,Above Average
Nancy Davolio,USA,1996,11,10261.20,6316.08,3945.12,Above Average
Laura Callahan,USA,1996,8,8485.80,4706.92,3778.88,Above Average
Janet Leverling,USA,1997,11,9668.06,5889.902,3778.158,Above Average
Anne Dodsworth,UK,1997,9,10412.40,6753.685,3658.715,Above Average
Robert King,UK,1997,8,7853.05,4350.00,3503.05,Above Average
Laura Callahan,USA,1998,3,20885.70,17455.49,3430.21,Above Average
Janet Leverling,USA,1997,2,10581.30,7192.92,3388.38,Above Average
Anne Dodsworth,UK,1997,11,7398.05,4115.9625,3282.0875,Above Average
Nancy Davolio,USA,1996,12,9557.00,6355.48,3201.52,Above Average
Andrew Fuller,USA,1997,9,9622.25,6543.656,3078.594,Above Average
Robert King,UK,1997,5,6041.25,3015.0625,3026.1875,Above Average
Steven Buchanan,UK,1997,7,6475.40,3487.25,2988.15,Above Average
Nancy Davolio,USA,1997,12,16077.25,13195.47,2881.78,Above Average
Nancy Davolio,USA,1996,9,6883.70,4083.92,2799.78,Above Average
Michael Suyama,UK,1997,10,6690.90,4019.025,2671.875,Above Average
Robert King,UK,1997,7,6144.60,3487.25,2657.35,Above Average
Michael Suyama,UK,1997,11,6566.05,4115.9625,2450.0875,Above Average
Nancy Davolio,USA,1998,5,7053.75,4681.4025,2372.3475,Above Average
Janet Leverling,USA,1997,4,10297.35,7938.06,2359.29,Above Average
Anne Dodsworth,UK,1996,10,6244.40,4097.20,2147.20,Above Average
Steven Buchanan,UK,1997,5,5127.50,3015.0625,2112.4375,Above Average
Nancy Davolio,USA,1997,10,12920.15,10850.48,2069.67,Above Average
Michael Suyama,UK,1996,9,4465.60,2405.4666,2060.1334,Above Average
Andrew Fuller,USA,1997,7,10320.00,8303.186,2016.814,Above Average
Anne Dodsworth,UK,1998,3,7566.60,5637.00,1929.60,Above Average
Nancy Davolio,USA,1997,9,8461.50,6543.656,1917.844,Above Average
Andrew Fuller,USA,1997,6,7058.60,5178.26,1880.34,Above Average
Anne Dodsworth,UK,1996,7,4955.30,3094.80,1860.50,Above Average
Margaret Peacock,USA,1997,11,7684.75,5889.902,1794.848,Above Average
Margaret Peacock,USA,1997,9,8147.63,6543.656,1603.974,Above Average
Margaret Peacock,USA,1998,5,6275.00,4681.4025,1593.5975,Above Average
Robert King,UK,1998,3,7130.80,5637.00,1493.80,Above Average
Robert King,UK,1997,3,3867.20,2382.65,1484.55,Above Average
Nancy Davolio,USA,1996,8,6007.10,4706.92,1300.18,Above Average
Robert King,UK,1997,2,3891.00,2621.30,1269.70,Above Average
Laura Callahan,USA,1996,9,5248.00,4083.92,1164.08,Above Average
Michael Suyama,UK,1996,8,2595.40,1537.40,1058.00,Above Average
Nancy Davolio,USA,1997,6,6112.65,5178.26,934.39,Above Average
Michael Suyama,UK,1997,6,4228.30,3299.175,929.125,Above Average
Janet Leverling,USA,1998,3,18358.35,17455.49,902.86,Above Average
Laura Callahan,USA,1997,10,11598.17,10850.48,747.69,Above Average
Janet Leverling,USA,1997,6,5871.60,5178.26,693.34,Above Average
Laura Callahan,USA,1997,2,7764.40,7192.92,571.48,Above Average
Robert King,UK,1996,10,4577.20,4097.20,480.00,Above Average
Anne Dodsworth,UK,1997,6,3761.50,3299.175,462.325,Above Average
Robert King,UK,1997,4,5707.35,5336.3633,370.9867,Above Average
Laura Callahan,USA,1996,12,6611.60,6355.48,256.12,Above Average
Steven Buchanan,UK,1997,3,2634.40,2382.65,251.75,Above Average
Nancy Davolio,USA,1997,5,9168.25,8952.69,215.56,Above Average
Margaret Peacock,USA,1997,10,10996.53,10850.48,146.05,Above Average
Margaret Peacock,USA,1996,12,6440.80,6355.48,85.32,Above Average
Andrew Fuller,USA,1996,12,6409.20,6355.48,53.72,Above Average
Robert King,UK,1998,5,1173.05,1173.05,0.00,Below Average
Robert King,UK,1998,1,6610.00,6623.31,-13.31,Below Average
Andrew Fuller,USA,1996,10,5725.70,5782.40,-56.70,Below Average
Steven Buchanan,UK,1997,6,3124.90,3299.175,-174.275,Below Average
Michael Suyama,UK,1997,8,3982.25,4350.00,-367.75,Below Average
Michael Suyama,UK,1998,3,5206.00,5637.00,-431.00,Below Average
Margaret Peacock,USA,1997,3,5644.80,6089.86,-445.06,Below Average
Michael Suyama,UK,1996,7,2587.90,3094.80,-506.90,Below Average
Margaret Peacock,USA,1996,9,3575.10,4083.92,-508.82,Below Average
Nancy Davolio,USA,1997,3,5493.90,6089.86,-595.96,Below Average
Michael Suyama,UK,1996,12,5782.40,6392.00,-609.60,Below Average
Anne Dodsworth,UK,1997,3,1770.80,2382.65,-611.85,Below Average
Janet Leverling,USA,1997,8,5881.80,6516.338,-634.538,Below Average
Andrew Fuller,USA,1997,10,10164.80,10850.48,-685.68,Below Average
Steven Buchanan,UK,1997,8,3636.70,4350.00,-713.30,Below Average
